groupname,paragraph,answersJSON
Co_alloy_WhitneyT,"Co-based superalloys show promise as a replacement for conventional Ni-based superalloys in [[high-temperature]] applications, such as turbine blades in jet engines. This material system exhibits a [[two-phase g/g’ microstructure]] with [[cuboidal precipitates]] that provides good [[creep resistance]], [[higher melting point]], and better [[corrosion resistance]]. This microstructure is highly dependent on the [[composition]] of the alloy, which controls the [[elastic energy]] and [[chemical energy]] of the phases to influence the [[precipitate morphology]]. There has also been a growing interest to examine if these Co-based superalloys are [[additive manufacturable]], which is beneficial to high throughput research and manufacturing complex parts in industrial applications. ",
Metal AM - SLM,"Additive manufacturing offers exceptional control over macroscopic part geometry, yet has encountered limitations in the available [[material portfolio]], [[mechanical properties]] of final components, and the [[economics of processing]]. Selective laser melting (SLM) is a specific class of powder-bed fusion techniques, in which a laser fully melts layers of powder onto a substrate and builds a component layer-by-layer. The key processing parameter behind the structure of printed components is the [[energy density]] delivered to the substrate; this can be controlled by a variety of machine parameters, such as [[beam power]] and [[scan speed]], and must be high enough to ensure full melting of the powder and inter-layer bonding, but low enough to avoid [[warping]] and [[cracking]] of the component. In addition to these macroscopic defects, the solidification conditions influence the microstructure of the component. For example, the [[grain morphology]] (i.e., the columnar-to-equiaxed transition) and the [[grain size]] are heavily dependent on the solidification conditions, and significantly influence the mechanical properties of the finished components. 
",
Thermoelectrics_JM,"The heat-to-electricity conversion efficiency of thermoelectric devices is related to the [[figure-of-merit zT]] of the constituent thermoelectric materials. The zT depends on several interrelated and competing material properties including the [[lattice thermal conductivity (𝜅_{𝑙𝑎𝑡})]], [[electronic thermal conductivity(𝜅_{𝑒𝑙})]], electrical conductivity (𝜎, governed by the [[carrier mobility 𝜇]] and [[carrier concentration]]), and the [[Seebeck coefficient]] (S, defined by the carrier concentration and [[electronic density of states]]). Engineering thermoelectric materials follows a three-pronged approach: 1) optimizing the [[electronic band structure]] (including density of states) and [[phonon band structure]] of the matrix phase, 2) [[doping the matrix]] to achieve optimal carrier concentration and mobility, and 3) controlling the [[lattice thermal conductivity (𝜅_{𝑙𝑎𝑡})]] by modifying [[microstructure (grain boundaries, secondary phases, dislocations)]] and [[point defects]] while avoiding major detrimental effects to the electrical conductivity (which can be influenced detrimentally by the same features). Materials processing typically begins with [[ingot casting]]. The ingot consists of the bulk composition, which largely defines the intrinsic band structures (from 1 above), the electronic doping (which tunes the carrier concentration), and aspects of microstructure like secondary phases. Cast ingots may be used as-is (if fully dense), or crushed into a powder by [[hand grinding]] or [[ball milling]] to add grain boundaries and/or dislocations before consolidation. Next, a [[consolidation/homogenization step (i.e. spark plasma sintering, hot pressing)]] and subsequent [[annealing treatment]] can largely determine the final microstructure (incl grain boundaries and grain boundary chemistry), and [[nanostructure of the secondary phases]]. Both structural features contribute to [[phonon scattering]] which reduces the lattice thermal conductivity.","[{""groupname"":""thermoelectricsjm"",""task"":""para"",""figureofmeritzt"":""performance"",""latticethermalconductivity"":""property"",""electronicthermalconductivity"":""property"",""carriermobility"":""property"",""carrierconcentration"":""property"",""seebeckcoefficient"":""property"",""electronicdensityofstates"":""property"",""electronicbandstructure"":""property"",""phononbandstructure"":""property"",""dopingthematrix"":""processing"",""microstructuregrainboundariessecondaryphasesdislocations"":""structure"",""pointdefects"":""structure"",""ingotcasting"":""processing"",""handgrinding"":""processing"",""ballmilling"":""processing"",""consolidationhomogenizationstepiesparkplasmasinteringhotpressing"":""processing"",""annealingtreatment"":""processing"",""nanostructureofthesecondaryphases"":""property"",""phononscattering"":""property""},{""groupname"":""thermoelectricsjm"",""task"":""SDC""}]"
Superalloy -test,"Ni-based superalloys are used for [[high temperature environment]] thus high [[creep propertiy]],[[oxidation/hot corrosion resisitance]], [[fatigue strength]] are required.
Superalloys should be desigined to have appropiriate [[composition]] to controll the [[phase stability]], [[volume fraction of gammma prime]], [[mismatch]], [[solid solution strenghening]], and [[grain boundary strenghening]]. An alloy will be manufactured by the series of process as [[melting]], [[remelting]], [[homogenizing]], [[hot working]], [[Solution treatment]] and [[Aging]].
",
Cobalt-based Superalloys_Brandon,"Superalloys are meant to [[withstand extreme conditions]] by having excellent [[oxidation/corrosion resistance]] and [[mechanical properties at high temperature]]. In particular, superalloys are used in turbine blades for gas power plants and jet aircraft because of their outstanding [[creep-resistance]]. One of the most important factors for creep-resistance is the melting point of the material. Traditionally, superalloys have been nickel-based for the last seven decades, because the nickel can form both an [[FCC matrix (gamma)]] as well as coherent [[L1_{2} precipitates (gamma prime)]].\n

Cobalt is a promising alternative to nickel, because it has a higher [[melting point]] than nickel. However, research into producing cobalt-based gamma prime is still in its infancy. There is only a small window of  [[element compositions]] which can make gamma prime, and much larger windows that can form deleterious [[Topologically Close-Packed (TCP)]] phases.

Alloys are made by [[weighing element constituents]], [[arc melting]] ingots, [[homogenizing]] to remove the as-cast microstructure and develop a homogenous gamma matrix, and [[aging]] to precipitate gamma prime within the matrix.

",
CoAlloy_WhitneyT,"Co-based superalloys show promise as a replacement for conventional Ni-based superalloys in [[high-temperature]] applications, such as turbine blades in jet engines. This material system exhibits a [[two-phase g/g’ microstructure]] with [[cuboidal precipitates]] that provides good [[creep resistance]], [[higher melting point]], and better [[corrosion resistance]]. This microstructure is highly dependent on the [[composition]] of the alloy, which controls the [[elastic energy]] and [[chemical energy]] of the phases to influence the [[precipitate morphology]].","[{""groupname"":""coalloywhitneyt"",""task"":""para"",""hightemperature"":""performance"",""twophaseggmicrostructure"":""structure"",""cuboidalprecipitates"":""structure"",""creepresistance"":""property"",""highermeltingpoint"":""property"",""corrosionresistance"":""property"",""composition"":""processing"",""elasticenergy"":""property"",""chemicalenergy"":""property"",""precipitatemorphology"":""structure"",""additivemanufacturable"":""performance""},{""groupname"":""coalloywhitneyt"",""task"":""SDC""},{""groupname"":""coalloywhitneyt"",""task"":""para""},{""groupname"":""coalloywhitneyt"",""task"":""SDC""}]"
Cobalt-Based Superalloys_Brandonfinished,"Superalloys are meant to [[withstand extreme conditions]] by having excellent [[oxidation/corrosion resistance]] and [[mechanical properties at high temperature]]. In particular, superalloys are used in turbine blades for gas power plants and jet aircraft because of their outstanding [[creep-resistance]]. One of the most important factors for creep-resistance is the melting point of the material. Traditionally, superalloys have been nickel-based for the last seven decades, because the nickel can form both an [[FCC matrix (gamma)]] as well as coherent [[L1_{2} precipitates (gamma prime)]].

Gamma prime is unique because it allows a so-called ""anomalous"" [[yield strength]]. While most materials get monotonically weaker with increasing temperature, gamma prime has a high temperature ""hump"" where the yield strength may even be higher than at room temperature. While superalloys may be weaker than other materials at room temperature, gamma prime's anomalous yield cannot be beaten at high temperature.

Cobalt is a promising alternative to nickel, because it has a higher [[melting point]]. However, research into producing cobalt-based gamma prime is still in its infancy. There is only a small window of  [[element compositions]] which can make gamma prime, and much larger windows that can form brittle [[Topologically Close-Packed (TCP)]] phases. Creep properties are also be affected by [[grain size]], [[grain boundary precipitates]], and [[lattice misfit]], which is the crystallographic size difference between gamma and gamma prime.

Alloys are made by [[weighing element constituents]], [[arc melting]] ingots, [[homogenizing]] to remove the as-cast microstructure and develop a homogenous gamma matrix, and [[aging]] to precipitate gamma prime within the matrix.

Cobalt has a disadvantage compared to nickel because of its higher [[cost]]. Additionally, the most-developed gamma prime composition is Co_{3}(W,Al), which has high [[density]] because of tungsten.

",
CJE BCPs for DSA,"The chief property of block copolymers (BCP) that has attracted interest in lithographic applications is its ability to [[microphase separate]]. If the [[identity of blocks]] in a BCP are chosen such that their propensity to phase separate is encouraged, the BCP can microphase separate on a surface to form [[specific and defined patterns]]. Typically, this can be induced when a solution of the BCP in a good solvent is [[applied to a surface]] as a thin film and consequently [[thermally annealed]] above the BCP’s [[glass transition temperature]], at which point there is sufficient [[mass transfer]] of the polymer chains for self-assembly via microphase separation. Furthermore, the [[domains]] of a BCP can be aligned when [[guiding patterns]] are imparted onto the BCP thin film. Of notable interest in exploring DSA materials with desired properties targeted for [[specific applications in microelectronics]] is the [[Flory-Huggins interaction parameter χ]], especially when coupled with the [[overall degree of polymerization N]] as the [[“segregation strength” of the BCP, χN]]. The [[chemical identity of monomers]] that compose each block of a BCP can correlate strongly with χ as a [[thermodynamic]] impetus for microphase separation and thereby greatly impact the self-assembly of BCPs with [[specified dimensions]]. In recent years, the pursuit of progressively smaller feature sizes by DSA has led to the design of BCPs that maximize χN via “high χ-low N” BCPs. However, χN can affect both the thermodynamics and [[kinetics]] of self-assembly in contrasting ways. With increasing χ, [[self-diffusion]] of a given BCP exponentially decreases. Thus, while maximizing χN reduces [[structural fluctuations]] to enhance [[structural uniformity]], lowering χN allows for [[structural reorganization]] towards the [[annihilation of defects]] formed. Thus, indiscriminately maximizing χN comes at the expense of the formation and persistence of defects. The balance of χN between avoiding defects while simultaneously imparting structural uniformity is a primary challenge with ensuring control in the self-assembly of BCP thin films.",
Co-based Superalloys Brandon3,"Superalloys are meant to [[withstand extreme conditions]] by having excellent [[oxidation/corrosion resistance]] and [[mechanical properties at high temperature]]. In particular, superalloys are used in turbine blades for gas power plants and jet aircraft because of their outstanding [[creep-resistance]]. One of the most important factors for creep-resistance is the melting point of the material. Traditionally, superalloys have been nickel-based for the last seven decades, because the nickel can form both an [[FCC matrix (gamma)]] as well as coherent [[L1_{2}_ precipitates (gamma prime)]].

Gamma prime is unique because it allows a so-called ""anomalous"" [[yield strength]]. While most materials get monotonically weaker with increasing temperature, gamma prime has a high temperature ""hump"" where the yield strength may even be higher than at room temperature. While superalloys may be weaker than other materials at room temperature, gamma prime's anomalous yield cannot be beaten at high temperature.

Cobalt is a promising alternative to nickel, because it has a higher [[melting point]]. However, research into producing cobalt-based gamma prime is still in its infancy. There is only a small window of  [[element compositions]] which can make gamma prime, and much larger windows that can form brittle [[Topologically Close-Packed (TCP)]] phases. Creep properties are also be affected by [[grain size]], [[grain boundary precipitates]], and [[lattice misfit]], which is the crystallographic size difference between gamma and gamma prime.

Alloys are made by [[weighing element constituents]], [[arc melting]] ingots, [[homogenizing]] to remove the as-cast microstructure and develop a homogenous gamma matrix, and [[aging]] to precipitate gamma prime within the matrix.

Cobalt has a disadvantage compared to nickel because of its higher [[cost]]. Additionally, the most-developed gamma prime composition is Co_{3}(W,Al)_, which has high [[density]] because of tungsten.

",
Co-based superalloys Brandon4,"Superalloys are meant to [[withstand extreme conditions]] by having excellent [[oxidation/corrosion resistance]] and [[mechanical properties at high temperature]]. In particular, superalloys are used in turbine blades for gas power plants and jet aircraft because of their outstanding [[creep-resistance]]. One of the most important factors for creep-resistance is the melting point of the material. Traditionally, superalloys have been nickel-based for the last seven decades, because the nickel can form both an [[FCC matrix (gamma)]] as well as coherent [[L1_{2}_ precipitates (gamma prime)]].

Gamma prime is unique because it allows a so-called ""anomalous"" [[yield strength]]. While most materials get monotonically weaker with increasing temperature, gamma prime has a high temperature ""hump"" where the yield strength may even be higher than at room temperature. While superalloys may be weaker than other materials at room temperature, gamma prime's anomalous yield cannot be beaten at high temperature.

Cobalt is a promising alternative to nickel, because it has a higher [[melting point]]. However, research into producing cobalt-based gamma prime is still in its infancy. There is only a small window of  [[element compositions]] which can make gamma prime, and much larger windows that can form brittle [[Topologically Close-Packed (TCP)]] phases. Creep properties are also be affected by [[grain size]], [[grain boundary precipitates]], and [[lattice misfit]], which is the crystallographic size difference between gamma and gamma prime.

Alloys are made by [[weighing element constituents]], [[arc melting]] ingots, [[homogenizing]] to remove the as-cast microstructure and develop a homogenous gamma matrix, and [[aging]] to precipitate gamma prime within the matrix.

Cobalt has a disadvantage compared to nickel because of its higher [[cost]]. Additionally, the most-developed gamma prime composition is Co_{3}_(W,Al), which has high [[density]] because of tungsten.","[{""groupname"":""cobasedsuperalloysbrandon4"",""task"":""para"",""withstandextremeconditions"":""performance"",""oxidationcorrosionresistance"":""property"",""mechanicalpropertiesathightemperature"":""performance"",""creepresistance"":""property"",""fccmatrixgamma"":""structure"",""l12precipitatesgammaprime"":""structure"",""yieldstrength"":""property"",""meltingpoint"":""property"",""elementcompositions"":""structure"",""topologicallyclosepackedtcp"":""structure"",""grainsize"":""structure"",""grainboundaryprecipitates"":""structure"",""latticemisfit"":""structure"",""weighingelementconstituents"":""processing"",""arcmelting"":""processing"",""homogenizing"":""processing"",""aging"":""processing"",""cost"":""performance"",""density"":""property""},{""groupname"":""cobasedsuperalloysbrandon4"",""task"":""SDC"",""weighingelementconstituents"":[""fccmatrixgamma"",""elementcompositions"",""latticemisfit"",""l12precipitatesgammaprime"",""topologicallyclosepackedtcp"",""grainboundaryprecipitates""],""arcmelting"":[""grainsize""],""homogenizing"":[""fccmatrixgamma""],""aging"":[""grainboundaryprecipitates"",""topologicallyclosepackedtcp"",""l12precipitatesgammaprime""],""latticemisfit"":[""creepresistance""],""fccmatrixgamma"":[""meltingpoint"",""density"",""creepresistance"",""oxidationcorrosionresistance""],""l12precipitatesgammaprime"":[""density"",""yieldstrength"",""creepresistance""],""topologicallyclosepackedtcp"":[""creepresistance""],""grainsize"":[""yieldstrength"",""creepresistance""],""grainboundaryprecipitates"":[""yieldstrength""],""density"":[""cost""],""meltingpoint"":[""withstandextremeconditions"",""mechanicalpropertiesathightemperature""],""creepresistance"":[""withstandextremeconditions"",""mechanicalpropertiesathightemperature""],""oxidationcorrosionresistance"":[""withstandextremeconditions"",""cost""],""yieldstrength"":[""mechanicalpropertiesathightemperature"",""withstandextremeconditions""]}]"
PECs,"Polyelectrolyte complexation describes the preference for oppositely charged polymers to [[spontaneously associate]] with each other in aqueous solution rather than with small counterions, due to their lower translational entropy per unit charge. If the attraction is strong enough, [[phase separation]] occurs, resulting in a [[hydrated polymer-rich phase]]. Assembly is controlled by [[polymer selection]]. Polymers are [[mixed under strong ionic conditions]] that prevent association and are slowly [[dialyzed]] to low ionic conditions to initiate assembly while avoiding kinetic traps. They are desirable for their [[biocompatibility]], [[stimuli-responsive properties]], and [[programmable size and morphology]]. The material properties are mediated by [[intramolecular ionic interactions]] which are [[temperature and salt-responsive]], leading to unique [[rheological behavior]]. Recent work shows success [[delivering therapeutic nucleic acids]] in vitro and animal models, where the inherently [[anionic therapeutic nucleic acids]] are used as one polyelectrolyte, showing promise for future [[drug delivery platforms]].","[{""groupname"":""pecs"",""task"":""para"",""spontaneouslyassociate"":""processing"",""phaseseparation"":""processing"",""hydratedpolymerrichphase"":""structure"",""biocompatibility"":""property"",""stimuliresponsiveproperties"":""property"",""programmablesizeandmorphology"":""property"",""intramolecularionicinteractions"":""structure"",""temperatureandsaltresponsive"":""property"",""rheologicalbehavior"":""property"",""deliveringtherapeuticnucleicacids"":""performance"",""anionictherapeuticnucleicacids"":""structure"",""drugdeliveryplatforms"":""performance""},{""groupname"":""pecs"",""task"":""SDC""},{""groupname"":""pecs"",""task"":""para""},{""groupname"":""pecs"",""task"":""SDC""}]"
PECs_class,"Polyelectrolyte complexation describes the preference for oppositely charged polymers to spontaneously associate with each other in aqueous solution rather than with small counterions, due to their lower translational entropy per unit charge. If the attraction is strong enough, phase separation occurs, resulting in a [[hydrated polymer-rich phase]]. They are desirable for their [[biocompatibility]], [[stimuli-responsive properties]], and [[programmable size and morphology]]. The material properties are mediated by [[intramolecular ionic interactions]] which are [[temperature and salt-responsive]], leading to unique [[rheological behavior]]. Recent work shows success [[delivering therapeutic nucleic acids]] in vitro and animal models, where the inherently [[anionic therapeutic nucleic acids]] are used as one polyelectrolyte, showing promise for future [[drug delivery platforms]].

[[spontaneous association driving phase separation]]",
test,"There are several material design requirements for block copolymers for [[directed-self assembly applications]]. The polymers need to form [[lamellar morphologies]] in [[thin film environments]]. In order to achieve [[perpendicular assembly]], the two polymer blocks need [equal surface energies] at the free surface as well as at a neutral substrate to allow for [[thermal annealing]]. The block copolymer also needs [[intermediate segregation strength]] and [[low dispersities]] to assemble [[well-defined domains]] while maintaining [[low defectivity]]. In order to achieve [[small feature sizes]], the block copolymers need [[small pitches]] which require [[low molecular weights]] with [[high interaction parameters]]. In terms of [[successful pattern transfer]], the polymer blocks need [[high enough etch contrast]] and [[low interface widths]]. ",
dsa_finalmaybe,"The chief property of block copolymers (BCP) that has attracted interest in lithographic applications is its ability to [[microphase separate]]. BCPs [[are synthesized]] with [[low polydispersities]].  If the [[identity of blocks]] in a BCP are chosen such that their propensity to phase separate is encouraged, the BCP can microphase separate on a surface to form [[well defined features]]. Typically, this can be induced when a solution of the BCP in a good solvent is [[spin coated]] as a [[thin film]] and consequently [[thermally annealed]] above the BCP’s [[glass transition temperature]]. In order to achieve [[perpendicular assembly]], the two polymer blocks need [equal surface energies] at the free surface. Of notable interest in exploring DSA materials with desired properties targeted for [[specific applications in microelectronics]] is the [[Flory-Huggins interaction parameter χ]], especially when coupled with the [[overall degree of polymerization N]] as the [[“segregation strength” of the BCP, χN]]. The chemical identity of monomers that compose each block of a BCP can correlate strongly with χ as a thermodynamic impetus for microphase separation and thereby greatly impact the self-assembly of BCPs with specified dimensions. In recent years, the pursuit of progressively smaller feature sizes by DSA has led to the design of BCPs that maximize χN via “high χ-low N” BCPs. However, χN can affect both the thermodynamics and kinetics of self-assembly in contrasting ways. With increasing χ, self-diffusion of a given BCP exponentially decreases. Thus, while maximizing χN reduces structural fluctuations to enhance structural uniformity, lowering χN allows for structural reorganization towards the [[annihilation of defects]] formed. Thus, indiscriminately maximizing χN comes at the expense of the formation and persistence of defects. The balance of χN between avoiding defects while simultaneously imparting structural uniformity is a primary challenge with ensuring control in the self-assembly of BCP thin films. In order to achieve [[alignment]] of the BCPs with [[low defectivity]], fabrication of [[precise chemical guiding patterns]] is necessary. In terms of [[successful pattern transfer]], the polymer blocks need [[high enough etch contrast]] and [[low interface widths]].","[{""groupname"":""dsafinalmaybe"",""task"":""para"",""microphaseseparate"":""performance"",""aresynthesized"":""processing"",""lowpolydispersities"":""structure"",""identityofblocks"":""structure"",""welldefinedfeatures"":""performance"",""spincoated"":""processing"",""thinfilm"":""structure"",""thermallyannealed"":""processing"",""glasstransitiontemperature"":""property"",""perpendicularassembly"":""performance"",""specificapplicationsinmicroelectronics"":""performance"",""floryhugginsinteractionparameter"":""property"",""segregationstrengthofthebcpn"":""property"",""overalldegreeofpolymerizationn"":""property"",""annihilationofdefects"":""performance"",""alignment"":""property"",""lowdefectivity"":""performance"",""precisechemicalguidingpatterns"":""processing"",""successfulpatterntransfer"":""performance"",""highenoughetchcontrast"":""property"",""lowinterfacewidths"":""property""},{""groupname"":""dsafinalmaybe"",""task"":""SDC"",""aresynthesized"":[""lowpolydispersities"",""identityofblocks""],""spincoated"":[""thinfilm""],""thermallyannealed"":[""thinfilm""],""precisechemicalguidingpatterns"":[""thinfilm""],""thinfilm"":[""alignment""],""lowpolydispersities"":[""segregationstrengthofthebcpn"",""overalldegreeofpolymerizationn"",""glasstransitiontemperature"",""lowinterfacewidths""],""identityofblocks"":[""floryhugginsinteractionparameter"",""segregationstrengthofthebcpn"",""highenoughetchcontrast"",""lowinterfacewidths""],""highenoughetchcontrast"":[""successfulpatterntransfer""],""lowinterfacewidths"":[""successfulpatterntransfer""],""segregationstrengthofthebcpn"":[""welldefinedfeatures"",""annihilationofdefects"",""microphaseseparate""],""floryhugginsinteractionparameter"":[""annihilationofdefects""],""overalldegreeofpolymerizationn"":[""welldefinedfeatures""],""alignment"":[""successfulpatterntransfer"",""welldefinedfeatures""],""glasstransitiontemperature"":[""welldefinedfeatures""]}]"
